# rshift,intensity
97.066278,0.039246
97.376603,0.039249
97.686927,0.039252
97.997252,0.039255
98.307577,0.039258
98.617901,0.039261
98.928226,0.039264
99.238550,0.039267
99.548875,0.039270
99.859199,0.039273
100.169524,0.039277
100.479849,0.039280
100.790173,0.039283
101.100498,0.039286
101.410822,0.039289
101.721147,0.039292
102.031471,0.039295
102.341796,0.039298
102.652121,0.039301
102.962445,0.039305
103.272770,0.039308
103.583094,0.039311
103.893419,0.039314
104.203743,0.039317
104.514068,0.039320
104.824392,0.039324
105.134717,0.039327
105.445042,0.039330
105.755366,0.039333
106.065691,0.039336
106.376015,0.039340
106.686340,0.039343
106.996664,0.039346
107.306989,0.039350
107.617314,0.039353
107.927638,0.039356
108.237963,0.039359
108.548287,0.039363
108.858612,0.039366
109.168936,0.039369
109.479261,0.039373
109.789586,0.039376
110.099910,0.039379
110.410235,0.039383
110.720559,0.039386
111.030884,0.039390
111.341208,0.039393
111.651533,0.039396
111.961858,0.039400
112.272182,0.039403
112.582507,0.039407
112.892831,0.039410
113.203156,0.039414
113.513480,0.039417
113.823805,0.039421
114.134130,0.039424
114.444454,0.039428
114.754779,0.039431
115.065103,0.039435
115.375428,0.039438
115.685752,0.039442
115.996077,0.039445
116.306402,0.039449
116.616726,0.039452
116.927051,0.039456
117.237375,0.039460
117.547700,0.039463
117.858024,0.039467
118.168349,0.039471
118.478674,0.039474
118.788998,0.039478
119.099323,0.039482
119.409647,0.039485
119.719972,0.039489
120.030296,0.039493
120.340621,0.039496
120.650946,0.039500
120.961270,0.039504
121.271595,0.039508
121.581919,0.039511
121.892244,0.039515
122.202568,0.039519
122.512893,0.039523
122.823218,0.039526
123.133542,0.039530
123.443867,0.039534
123.754191,0.039538
124.064516,0.039542
124.374840,0.039546
124.685165,0.039550
124.995489,0.039553
125.305814,0.039557
125.616139,0.039561
125.926463,0.039565
126.236788,0.039569
126.547112,0.039573
126.857437,0.039577
127.167761,0.039581
127.478086,0.039585
127.788411,0.039589
128.098735,0.039593
128.409060,0.039597
128.719384,0.039601
129.029709,0.039605
129.340033,0.039609
129.650358,0.039613
129.960683,0.039617
130.271007,0.039622
130.581332,0.039626
130.891656,0.039630
131.201981,0.039634
131.512305,0.039638
131.822630,0.039642
132.132955,0.039646
132.443279,0.039651
132.753604,0.039655
133.063928,0.039659
133.374253,0.039663
133.684577,0.039668
133.994902,0.039672
134.305227,0.039676
134.615551,0.039680
134.925876,0.039685
135.236200,0.039689
135.546525,0.039693
135.856849,0.039698
136.167174,0.039702
136.477499,0.039706
136.787823,0.039711
137.098148,0.039715
137.408472,0.039720
137.718797,0.039724
138.029121,0.039729
138.339446,0.039733
138.649771,0.039737
138.960095,0.039742
139.270420,0.039746
139.580744,0.039751
139.891069,0.039756
140.201393,0.039760
140.511718,0.039765
140.822043,0.039769
141.132367,0.039774
141.442692,0.039778
141.753016,0.039783
142.063341,0.039788
142.373665,0.039792
142.683990,0.039797
142.994314,0.039802
143.304639,0.039806
143.614964,0.039811
143.925288,0.039816
144.235613,0.039821
144.545937,0.039825
144.856262,0.039830
145.166586,0.039835
145.476911,0.039840
145.787236,0.039845
146.097560,0.039850
146.407885,0.039854
146.718209,0.039859
147.028534,0.039864
147.338858,0.039869
147.649183,0.039874
147.959508,0.039879
148.269832,0.039884
148.580157,0.039889
148.890481,0.039894
149.200806,0.039899
149.511130,0.039904
149.821455,0.039909
150.131780,0.039914
150.442104,0.039919
150.752429,0.039924
151.062753,0.039929
151.373078,0.039935
151.683402,0.039940
151.993727,0.039945
152.304052,0.039950
152.614376,0.039955
152.924701,0.039961
153.235025,0.039966
153.545350,0.039971
153.855674,0.039976
154.165999,0.039982
154.476324,0.039987
154.786648,0.039992
155.096973,0.039998
155.407297,0.040003
155.717622,0.040008
156.027946,0.040014
156.338271,0.040019
156.648596,0.040025
156.958920,0.040030
157.269245,0.040036
157.579569,0.040041
157.889894,0.040047
158.200218,0.040052
158.510543,0.040058
158.820868,0.040063
159.131192,0.040069
159.441517,0.040075
159.751841,0.040080
160.062166,0.040086
160.372490,0.040092
160.682815,0.040097
160.993140,0.040103
161.303464,0.040109
161.613789,0.040115
161.924113,0.040120
162.234438,0.040126
162.544762,0.040132
162.855087,0.040138
163.165411,0.040144
163.475736,0.040150
163.786061,0.040156
164.096385,0.040161
164.406710,0.040167
164.717034,0.040173
165.027359,0.040179
165.337683,0.040185
165.648008,0.040192
165.958333,0.040198
166.268657,0.040204
166.578982,0.040210
166.889306,0.040216
167.199631,0.040222
167.509955,0.040228
167.820280,0.040234
168.130605,0.040241
168.440929,0.040247
168.751254,0.040253
169.061578,0.040260
169.371903,0.040266
169.682227,0.040272
169.992552,0.040279
170.302877,0.040285
170.613201,0.040291
170.923526,0.040298
171.233850,0.040304
171.544175,0.040311
171.854499,0.040317
172.164824,0.040324
172.475149,0.040330
172.785473,0.040337
173.095798,0.040344
173.406122,0.040350
173.716447,0.040357
174.026771,0.040364
174.337096,0.040370
174.647421,0.040377
174.957745,0.040384
175.268070,0.040391
175.578394,0.040397
175.888719,0.040404
176.199043,0.040411
176.509368,0.040418
176.819693,0.040425
177.130017,0.040432
177.440342,0.040439
177.750666,0.040446
178.060991,0.040453
178.371315,0.040460
178.681640,0.040467
178.991965,0.040474
179.302289,0.040481
179.612614,0.040488
179.922938,0.040496
180.233263,0.040503
180.543587,0.040510
180.853912,0.040517
181.164237,0.040525
181.474561,0.040532
181.784886,0.040539
182.095210,0.040547
182.405535,0.040554
182.715859,0.040562
183.026184,0.040569
183.336508,0.040576
183.646833,0.040584
183.957158,0.040592
184.267482,0.040599
184.577807,0.040607
184.888131,0.040614
185.198456,0.040622
185.508780,0.040630
185.819105,0.040638
186.129430,0.040645
186.439754,0.040653
186.750079,0.040661
187.060403,0.040669
187.370728,0.040677
187.681052,0.040685
187.991377,0.040693
188.301702,0.040701
188.612026,0.040709
188.922351,0.040717
189.232675,0.040725
189.543000,0.040733
189.853324,0.040741
190.163649,0.040749
190.473974,0.040758
190.784298,0.040766
191.094623,0.040774
191.404947,0.040783
191.715272,0.040791
192.025596,0.040799
192.335921,0.040808
192.646246,0.040816
192.956570,0.040825
193.266895,0.040833
193.577219,0.040842
193.887544,0.040851
194.197868,0.040859
194.508193,0.040868
194.818518,0.040877
195.128842,0.040885
195.439167,0.040894
195.749491,0.040903
196.059816,0.040912
196.370140,0.040921
196.680465,0.040930
196.990790,0.040939
197.301114,0.040948
197.611439,0.040957
197.921763,0.040966
198.232088,0.040975
198.542412,0.040984
198.852737,0.040993
199.163062,0.041003
199.473386,0.041012
199.783711,0.041021
200.094035,0.041031
200.404360,0.041040
200.714684,0.041050
201.025009,0.041059
201.335334,0.041069
201.645658,0.041078
201.955983,0.041088
202.266307,0.041097
202.576632,0.041107
202.886956,0.041117
203.197281,0.041127
203.507605,0.041136
203.817930,0.041146
204.128255,0.041156
204.438579,0.041166
204.748904,0.041176
205.059228,0.041186
205.369553,0.041196
205.679877,0.041206
205.990202,0.041217
206.300527,0.041227
206.610851,0.041237
206.921176,0.041247
207.231500,0.041258
207.541825,0.041268
207.852149,0.041279
208.162474,0.041289
208.472799,0.041300
208.783123,0.041310
209.093448,0.041321
209.403772,0.041332
209.714097,0.041342
210.024421,0.041353
210.334746,0.041364
210.645071,0.041375
210.955395,0.041386
211.265720,0.041397
211.576044,0.041408
211.886369,0.041419
212.196693,0.041430
212.507018,0.041441
212.817343,0.041453
213.127667,0.041464
213.437992,0.041475
213.748316,0.041487
214.058641,0.041498
214.368965,0.041510
214.679290,0.041521
214.989615,0.041533
215.299939,0.041544
215.610264,0.041556
215.920588,0.041568
216.230913,0.041580
216.541237,0.041592
216.851562,0.041604
217.161887,0.041616
217.472211,0.041628
217.782536,0.041640
218.092860,0.041652
218.403185,0.041664
218.713509,0.041676
219.023834,0.041689
219.334159,0.041701
219.644483,0.041714
219.954808,0.041726
220.265132,0.041739
220.575457,0.041751
220.885781,0.041764
221.196106,0.041777
221.506431,0.041790
221.816755,0.041802
222.127080,0.041815
222.437404,0.041828
222.747729,0.041842
223.058053,0.041855
223.368378,0.041868
223.678702,0.041881
223.989027,0.041894
224.299352,0.041908
224.609676,0.041921
224.920001,0.041935
225.230325,0.041948
225.540650,0.041962
225.850974,0.041976
226.161299,0.041990
226.471624,0.042004
226.781948,0.042017
227.092273,0.042031
227.402597,0.042046
227.712922,0.042060
228.023246,0.042074
228.333571,0.042088
228.643896,0.042103
228.954220,0.042117
229.264545,0.042132
229.574869,0.042146
229.885194,0.042161
230.195518,0.042175
230.505843,0.042190
230.816168,0.042205
231.126492,0.042220
231.436817,0.042235
231.747141,0.042250
232.057466,0.042265
232.367790,0.042281
232.678115,0.042296
232.988440,0.042312
233.298764,0.042327
233.609089,0.042343
233.919413,0.042358
234.229738,0.042374
234.540062,0.042390
234.850387,0.042406
235.160712,0.042422
235.471036,0.042438
235.781361,0.042454
236.091685,0.042470
236.402010,0.042487
236.712334,0.042503
237.022659,0.042520
237.332984,0.042536
237.643308,0.042553
237.953633,0.042570
238.263957,0.042587
238.574282,0.042604
238.884606,0.042621
239.194931,0.042638
239.505256,0.042655
239.815580,0.042672
