# rshift,intensity
54.761365,0.080857
55.064323,0.080857
55.367281,0.080858
55.670239,0.080859
55.973197,0.080860
56.276156,0.080861
56.579114,0.080862
56.882072,0.080863
57.185030,0.080864
57.487988,0.080865
57.790946,0.080866
58.093904,0.080867
58.396862,0.080868
58.699820,0.080868
59.002778,0.080869
59.305736,0.080870
59.608694,0.080871
59.911652,0.080872
60.214610,0.080873
60.517568,0.080874
60.820526,0.080875
61.123485,0.080876
61.426443,0.080877
61.729401,0.080878
62.032359,0.080879
62.335317,0.080880
62.638275,0.080881
62.941233,0.080882
63.244191,0.080883
63.547149,0.080884
63.850107,0.080885
64.153065,0.080886
64.456023,0.080887
64.758981,0.080888
65.061939,0.080889
65.364897,0.080890
65.667855,0.080891
65.970813,0.080891
66.273772,0.080892
66.576730,0.080893
66.879688,0.080894
67.182646,0.080895
67.485604,0.080896
67.788562,0.080897
68.091520,0.080898
68.394478,0.080899
68.697436,0.080900
69.000394,0.080901
69.303352,0.080902
69.606310,0.080903
69.909268,0.080905
70.212226,0.080906
70.515184,0.080907
70.818142,0.080908
71.121101,0.080909
71.424059,0.080910
71.727017,0.080911
72.029975,0.080912
72.332933,0.080913
72.635891,0.080914
72.938849,0.080915
73.241807,0.080916
73.544765,0.080917
73.847723,0.080918
74.150681,0.080919
74.453639,0.080920
74.756597,0.080921
75.059555,0.080922
75.362513,0.080923
75.665471,0.080924
75.968430,0.080925
76.271388,0.080926
76.574346,0.080927
76.877304,0.080929
77.180262,0.080930
77.483220,0.080931
77.786178,0.080932
78.089136,0.080933
78.392094,0.080934
78.695052,0.080935
78.998010,0.080936
79.300968,0.080937
79.603926,0.080938
79.906884,0.080939
80.209842,0.080941
80.512800,0.080942
80.815759,0.080943
81.118717,0.080944
81.421675,0.080945
81.724633,0.080946
82.027591,0.080947
82.330549,0.080948
82.633507,0.080949
82.936465,0.080951
83.239423,0.080952
83.542381,0.080953
83.845339,0.080954
84.148297,0.080955
84.451255,0.080956
84.754213,0.080957
85.057171,0.080959
85.360129,0.080960
85.663088,0.080961
85.966046,0.080962
86.269004,0.080963
86.571962,0.080964
86.874920,0.080966
87.177878,0.080967
87.480836,0.080968
87.783794,0.080969
88.086752,0.080970
88.389710,0.080971
88.692668,0.080973
88.995626,0.080974
89.298584,0.080975
89.601542,0.080976
89.904500,0.080977
90.207458,0.080979
90.510416,0.080980
90.813375,0.080981
91.116333,0.080982
91.419291,0.080983
91.722249,0.080985
92.025207,0.080986
92.328165,0.080987
92.631123,0.080988
92.934081,0.080990
93.237039,0.080991
93.539997,0.080992
93.842955,0.080993
94.145913,0.080994
94.448871,0.080996
94.751829,0.080997
95.054787,0.080998
95.357745,0.080999
95.660704,0.081001
95.963662,0.081002
96.266620,0.081003
96.569578,0.081004
96.872536,0.081006
97.175494,0.081007
97.478452,0.081008
97.781410,0.081010
98.084368,0.081011
98.387326,0.081012
98.690284,0.081013
98.993242,0.081015
99.296200,0.081016
99.599158,0.081017
99.902116,0.081019
100.205074,0.081020
100.508033,0.081021
100.810991,0.081023
101.113949,0.081024
101.416907,0.081025
101.719865,0.081027
102.022823,0.081028
102.325781,0.081029
102.628739,0.081031
102.931697,0.081032
103.234655,0.081033
103.537613,0.081035
103.840571,0.081036
104.143529,0.081037
104.446487,0.081039
104.749445,0.081040
105.052403,0.081041
105.355362,0.081043
105.658320,0.081044
105.961278,0.081045
106.264236,0.081047
106.567194,0.081048
106.870152,0.081050
107.173110,0.081051
107.476068,0.081052
107.779026,0.081054
108.081984,0.081055
108.384942,0.081057
108.687900,0.081058
108.990858,0.081059
109.293816,0.081061
109.596774,0.081062
109.899732,0.081064
110.202691,0.081065
110.505649,0.081067
110.808607,0.081068
111.111565,0.081069
111.414523,0.081071
111.717481,0.081072
112.020439,0.081074
112.323397,0.081075
112.626355,0.081077
112.929313,0.081078
113.232271,0.081080
113.535229,0.081081
113.838187,0.081083
114.141145,0.081084
114.444103,0.081085
114.747061,0.081087
115.050019,0.081088
115.352978,0.081090
115.655936,0.081091
115.958894,0.081093
116.261852,0.081094
116.564810,0.081096
116.867768,0.081097
117.170726,0.081099
117.473684,0.081101
117.776642,0.081102
118.079600,0.081104
118.382558,0.081105
118.685516,0.081107
118.988474,0.081108
119.291432,0.081110
119.594390,0.081111
119.897348,0.081113
120.200307,0.081114
120.503265,0.081116
120.806223,0.081118
121.109181,0.081119
121.412139,0.081121
121.715097,0.081122
122.018055,0.081124
122.321013,0.081126
122.623971,0.081127
122.926929,0.081129
123.229887,0.081130
123.532845,0.081132
123.835803,0.081134
124.138761,0.081135
124.441719,0.081137
124.744677,0.081138
125.047636,0.081140
125.350594,0.081142
125.653552,0.081143
125.956510,0.081145
126.259468,0.081147
126.562426,0.081148
126.865384,0.081150
127.168342,0.081152
127.471300,0.081153
127.774258,0.081155
128.077216,0.081157
128.380174,0.081158
128.683132,0.081160
128.986090,0.081162
129.289048,0.081163
129.592006,0.081165
129.894965,0.081167
130.197923,0.081169
130.500881,0.081170
130.803839,0.081172
131.106797,0.081174
131.409755,0.081176
131.712713,0.081177
132.015671,0.081179
132.318629,0.081181
132.621587,0.081183
132.924545,0.081184
133.227503,0.081186
133.530461,0.081188
133.833419,0.081190
134.136377,0.081191
134.439335,0.081193
134.742294,0.081195
135.045252,0.081197
135.348210,0.081199
135.651168,0.081200
135.954126,0.081202
136.257084,0.081204
136.560042,0.081206
136.863000,0.081208
137.165958,0.081210
137.468916,0.081211
137.771874,0.081213
138.074832,0.081215
138.377790,0.081217
138.680748,0.081219
138.983706,0.081221
139.286664,0.081223
139.589622,0.081224
139.892581,0.081226
140.195539,0.081228
140.498497,0.081230
140.801455,0.081232
141.104413,0.081234
141.407371,0.081236
141.710329,0.081238
142.013287,0.081240
142.316245,0.081242
142.619203,0.081244
142.922161,0.081246
143.225119,0.081247
143.528077,0.081249
143.831035,0.081251
144.133993,0.081253
144.436951,0.081255
144.739910,0.081257
145.042868,0.081259
145.345826,0.081261
145.648784,0.081263
145.951742,0.081265
146.254700,0.081267
146.557658,0.081269
146.860616,0.081271
147.163574,0.081273
147.466532,0.081275
147.769490,0.081277
148.072448,0.081280
148.375406,0.081282
148.678364,0.081284
148.981322,0.081286
149.284280,0.081288
149.587239,0.081290
149.890197,0.081292
150.193155,0.081294
150.496113,0.081296
150.799071,0.081298
151.102029,0.081300
151.404987,0.081302
151.707945,0.081305
152.010903,0.081307
152.313861,0.081309
152.616819,0.081311
152.919777,0.081313
153.222735,0.081315
153.525693,0.081317
153.828651,0.081320
154.131609,0.081322
154.434568,0.081324
154.737526,0.081326
155.040484,0.081328
155.343442,0.081331
155.646400,0.081333
155.949358,0.081335
156.252316,0.081337
156.555274,0.081340
156.858232,0.081342
157.161190,0.081344
157.464148,0.081346
157.767106,0.081349
158.070064,0.081351
158.373022,0.081353
158.675980,0.081355
158.978938,0.081358
