# i,T,amp,error_amp,c,error_c,w,error_w
0.000e+00,1.500e+01,1.607e-01,4.587e-03,6.176e+02,1.293e-01,6.000e+00,3.020e-01
5.000e+00,2.200e+01,1.323e-01,3.895e-03,6.170e+02,1.078e-01,5.873e+00,2.738e-01
1.200e+01,2.800e+01,1.400e-01,5.314e-03,6.174e+02,1.575e-01,6.465e+00,3.994e-01
1.800e+01,3.300e+01,9.000e-02,5.253e-03,6.177e+02,2.700e-01,6.000e+00,6.249e-01
4.600e+01,6.000e+01,2.361e-01,7.910e-03,6.167e+02,1.196e-01,6.034e+00,3.122e-01
5.100e+01,7.000e+01,1.624e-01,4.301e-03,6.170e+02,8.363e-02,4.832e+00,2.050e-01
5.400e+01,8.000e+01,1.719e-01,5.133e-03,6.168e+02,9.288e-02,5.011e+00,2.316e-01
5.600e+01,9.000e+01,1.952e-01,7.048e-03,6.179e+02,1.517e-01,4.237e+00,2.278e-01
6.000e+01,2.000e+02,1.627e-01,6.291e-03,6.173e+02,1.962e-01,5.085e+00,2.954e-01
6.400e+01,3.000e+02,1.868e-01,4.579e-03,6.153e+02,1.923e-01,7.879e+00,3.015e-01
6.500e+01,3.000e+02,1.349e-01,4.471e-03,6.155e+02,1.724e-01,5.242e+00,2.622e-01
7.100e+01,3.800e+02,6.606e-02,4.389e-03,6.127e+02,4.995e-01,7.542e+00,7.936e-01
7.200e+01,4.000e+02,1.070e-01,3.171e-03,6.133e+02,3.592e-01,1.332e+01,6.892e-01
7.400e+01,4.200e+02,7.959e-02,4.220e-03,6.126e+02,7.026e-01,1.535e+01,1.481e+00
7.500e+01,4.400e+02,7.972e-02,3.987e-03,6.103e+02,7.578e-01,1.674e+01,1.581e+00
7.600e+01,4.500e+02,8.566e-02,2.171e-03,6.118e+02,4.371e-01,1.721e+01,8.754e-01
8.000e+01,4.720e+02,8.201e-02,3.111e-03,6.070e+02,6.895e-01,1.987e+01,1.508e+00
8.200e+01,4.820e+02,7.919e-02,3.283e-03,6.058e+02,6.373e-01,1.860e+01,1.438e+00
8.300e+01,4.890e+02,6.987e-02,3.428e-03,6.064e+02,8.253e-01,1.907e+01,1.770e+00
8.500e+01,5.000e+02,5.391e-02,3.810e-03,6.052e+02,1.463e+00,2.301e+01,3.241e+00
