# rshift,intensity
65.454626,0.074190
65.757380,0.074191
66.060134,0.074191
66.362888,0.074192
66.665641,0.074193
66.968395,0.074194
67.271149,0.074195
67.573903,0.074196
67.876657,0.074197
68.179411,0.074198
68.482164,0.074199
68.784918,0.074200
69.087672,0.074201
69.390426,0.074202
69.693180,0.074203
69.995934,0.074204
70.298687,0.074205
70.601441,0.074206
70.904195,0.074207
71.206949,0.074208
71.509703,0.074209
71.812457,0.074210
72.115210,0.074211
72.417964,0.074212
72.720718,0.074213
73.023472,0.074214
73.326226,0.074215
73.628980,0.074216
73.931733,0.074217
74.234487,0.074218
74.537241,0.074219
74.839995,0.074220
75.142749,0.074221
75.445503,0.074222
75.748256,0.074223
76.051010,0.074224
76.353764,0.074225
76.656518,0.074226
76.959272,0.074227
77.262026,0.074228
77.564779,0.074229
77.867533,0.074230
78.170287,0.074231
78.473041,0.074232
78.775795,0.074233
79.078549,0.074234
79.381302,0.074235
79.684056,0.074236
79.986810,0.074238
80.289564,0.074239
80.592318,0.074240
80.895072,0.074241
81.197825,0.074242
81.500579,0.074243
81.803333,0.074244
82.106087,0.074245
82.408841,0.074246
82.711595,0.074247
83.014348,0.074248
83.317102,0.074249
83.619856,0.074250
83.922610,0.074252
84.225364,0.074253
84.528118,0.074254
84.830871,0.074255
85.133625,0.074256
85.436379,0.074257
85.739133,0.074258
86.041887,0.074259
86.344641,0.074260
86.647394,0.074261
86.950148,0.074263
87.252902,0.074264
87.555656,0.074265
87.858410,0.074266
88.161164,0.074267
88.463917,0.074268
88.766671,0.074269
89.069425,0.074271
89.372179,0.074272
89.674933,0.074273
89.977687,0.074274
90.280440,0.074275
90.583194,0.074276
90.885948,0.074277
91.188702,0.074279
91.491456,0.074280
91.794210,0.074281
92.096963,0.074282
92.399717,0.074283
92.702471,0.074284
93.005225,0.074286
93.307979,0.074287
93.610733,0.074288
93.913486,0.074289
94.216240,0.074290
94.518994,0.074292
94.821748,0.074293
95.124502,0.074294
95.427256,0.074295
95.730009,0.074296
96.032763,0.074298
96.335517,0.074299
96.638271,0.074300
96.941025,0.074301
97.243779,0.074302
97.546532,0.074304
97.849286,0.074305
98.152040,0.074306
98.454794,0.074307
98.757548,0.074309
99.060302,0.074310
99.363055,0.074311
99.665809,0.074312
99.968563,0.074314
100.271317,0.074315
100.574071,0.074316
100.876825,0.074317
101.179578,0.074319
101.482332,0.074320
101.785086,0.074321
102.087840,0.074322
102.390594,0.074324
102.693347,0.074325
102.996101,0.074326
103.298855,0.074328
103.601609,0.074329
103.904363,0.074330
104.207117,0.074331
104.509870,0.074333
104.812624,0.074334
105.115378,0.074335
105.418132,0.074337
105.720886,0.074338
106.023640,0.074339
106.326393,0.074341
106.629147,0.074342
106.931901,0.074343
107.234655,0.074345
107.537409,0.074346
107.840163,0.074347
108.142916,0.074349
108.445670,0.074350
108.748424,0.074351
109.051178,0.074353
109.353932,0.074354
109.656686,0.074355
109.959439,0.074357
110.262193,0.074358
110.564947,0.074360
110.867701,0.074361
111.170455,0.074362
111.473209,0.074364
111.775962,0.074365
112.078716,0.074367
112.381470,0.074368
112.684224,0.074369
112.986978,0.074371
113.289732,0.074372
113.592485,0.074374
113.895239,0.074375
114.197993,0.074376
114.500747,0.074378
114.803501,0.074379
115.106255,0.074381
115.409008,0.074382
115.711762,0.074384
116.014516,0.074385
116.317270,0.074386
116.620024,0.074388
116.922778,0.074389
117.225531,0.074391
117.528285,0.074392
117.831039,0.074394
118.133793,0.074395
118.436547,0.074397
118.739301,0.074398
119.042054,0.074400
119.344808,0.074401
119.647562,0.074403
119.950316,0.074404
120.253070,0.074406
120.555824,0.074407
120.858577,0.074409
121.161331,0.074410
121.464085,0.074412
121.766839,0.074413
122.069593,0.074415
122.372347,0.074416
122.675100,0.074418
122.977854,0.074419
123.280608,0.074421
123.583362,0.074422
123.886116,0.074424
124.188870,0.074426
124.491623,0.074427
124.794377,0.074429
125.097131,0.074430
125.399885,0.074432
125.702639,0.074433
126.005393,0.074435
126.308146,0.074437
126.610900,0.074438
126.913654,0.074440
127.216408,0.074441
127.519162,0.074443
127.821916,0.074445
128.124669,0.074446
128.427423,0.074448
128.730177,0.074450
129.032931,0.074451
129.335685,0.074453
129.638439,0.074454
129.941192,0.074456
130.243946,0.074458
130.546700,0.074459
130.849454,0.074461
131.152208,0.074463
131.454962,0.074464
131.757715,0.074466
132.060469,0.074468
132.363223,0.074469
132.665977,0.074471
132.968731,0.074473
133.271485,0.074474
133.574238,0.074476
133.876992,0.074478
134.179746,0.074480
134.482500,0.074481
134.785254,0.074483
135.088008,0.074485
135.390761,0.074487
135.693515,0.074488
135.996269,0.074490
136.299023,0.074492
136.601777,0.074494
136.904531,0.074495
137.207284,0.074497
137.510038,0.074499
137.812792,0.074501
138.115546,0.074502
138.418300,0.074504
138.721054,0.074506
139.023807,0.074508
139.326561,0.074510
139.629315,0.074511
139.932069,0.074513
140.234823,0.074515
140.537577,0.074517
140.840330,0.074519
141.143084,0.074521
141.445838,0.074522
141.748592,0.074524
142.051346,0.074526
142.354100,0.074528
142.656853,0.074530
142.959607,0.074532
143.262361,0.074534
143.565115,0.074535
143.867869,0.074537
144.170623,0.074539
144.473376,0.074541
144.776130,0.074543
145.078884,0.074545
145.381638,0.074547
145.684392,0.074549
145.987146,0.074551
146.289899,0.074553
146.592653,0.074555
146.895407,0.074556
147.198161,0.074558
147.500915,0.074560
147.803669,0.074562
148.106422,0.074564
148.409176,0.074566
148.711930,0.074568
149.014684,0.074570
149.317438,0.074572
149.620192,0.074574
149.922945,0.074576
150.225699,0.074578
150.528453,0.074580
150.831207,0.074582
151.133961,0.074584
151.436715,0.074586
151.739468,0.074588
152.042222,0.074590
152.344976,0.074593
152.647730,0.074595
152.950484,0.074597
153.253238,0.074599
153.555991,0.074601
153.858745,0.074603
154.161499,0.074605
154.464253,0.074607
154.767007,0.074609
155.069761,0.074611
155.372514,0.074613
155.675268,0.074616
155.978022,0.074618
156.280776,0.074620
156.583530,0.074622
156.886284,0.074624
157.189037,0.074626
157.491791,0.074629
157.794545,0.074631
158.097299,0.074633
158.400053,0.074635
158.702807,0.074637
159.005560,0.074639
159.308314,0.074642
159.611068,0.074644
159.913822,0.074646
160.216576,0.074648
160.519330,0.074651
160.822083,0.074653
161.124837,0.074655
161.427591,0.074657
161.730345,0.074660
162.033099,0.074662
162.335853,0.074664
162.638606,0.074667
162.941360,0.074669
163.244114,0.074671
163.546868,0.074673
163.849622,0.074676
164.152376,0.074678
164.455129,0.074680
164.757883,0.074683
165.060637,0.074685
165.363391,0.074688
165.666145,0.074690
165.968899,0.074692
166.271652,0.074695
166.574406,0.074697
166.877160,0.074699
167.179914,0.074702
167.482668,0.074704
167.785422,0.074707
168.088175,0.074709
168.390929,0.074712
168.693683,0.074714
168.996437,0.074716
169.299191,0.074719
169.601945,0.074721
169.904698,0.074724
170.207452,0.074726
170.510206,0.074729
170.812960,0.074731
171.115714,0.074734
171.418467,0.074736
171.721221,0.074739
172.023975,0.074742
172.326729,0.074744
172.629483,0.074747
172.932237,0.074749
173.234990,0.074752
173.537744,0.074754
173.840498,0.074757
174.143252,0.074760
174.446006,0.074762
174.748760,0.074765
175.051513,0.074767
175.354267,0.074770
175.657021,0.074773
175.959775,0.074775
176.262529,0.074778
176.565283,0.074781
176.868036,0.074783
177.170790,0.074786
177.473544,0.074789
177.776298,0.074791
178.079052,0.074794
178.381806,0.074797
178.684559,0.074800
178.987313,0.074802
179.290067,0.074805
179.592821,0.074808
179.895575,0.074811
180.198329,0.074814
180.501082,0.074816
180.803836,0.074819
181.106590,0.074822
181.409344,0.074825
181.712098,0.074828
182.014852,0.074830
182.317605,0.074833
182.620359,0.074836
182.923113,0.074839
183.225867,0.074842
183.528621,0.074845
183.831375,0.074848
184.134128,0.074851
184.436882,0.074854
184.739636,0.074857
185.042390,0.074859
185.345144,0.074862
185.647898,0.074865
185.950651,0.074868
186.253405,0.074871
186.556159,0.074874
186.858913,0.074877
187.161667,0.074880
187.464421,0.074883
187.767174,0.074887
188.069928,0.074890
188.372682,0.074893
188.675436,0.074896
188.978190,0.074899
189.280944,0.074902
189.583697,0.074905
189.886451,0.074908
190.189205,0.074911
190.491959,0.074914
190.794713,0.074918
191.097467,0.074921
191.400220,0.074924
191.702974,0.074927
192.005728,0.074930
192.308482,0.074934
192.611236,0.074937
192.913990,0.074940
193.216743,0.074943
193.519497,0.074947
193.822251,0.074950
194.125005,0.074953
194.427759,0.074956
194.730513,0.074960
195.033266,0.074963
195.336020,0.074966
195.638774,0.074970
195.941528,0.074973
196.244282,0.074977
196.547036,0.074980
196.849789,0.074983
197.152543,0.074987
197.455297,0.074990
197.758051,0.074994
198.060805,0.074997
198.363559,0.075000
198.666312,0.075004
198.969066,0.075007
199.271820,0.075011
199.574574,0.075014
199.877328,0.075018
200.180082,0.075022
200.482835,0.075025
200.785589,0.075029
201.088343,0.075032
201.391097,0.075036
201.693851,0.075039
201.996605,0.075043
202.299358,0.075047
202.602112,0.075050
202.904866,0.075054
203.207620,0.075058
203.510374,0.075061
203.813128,0.075065
204.115881,0.075069
204.418635,0.075073
204.721389,0.075076
205.024143,0.075080
205.326897,0.075084
205.629651,0.075088
205.932404,0.075092
206.235158,0.075095
206.537912,0.075099
206.840666,0.075103
207.143420,0.075107
207.446174,0.075111
207.748927,0.075115
208.051681,0.075119
208.354435,0.075123
208.657189,0.075127
208.959943,0.075131
209.262697,0.075134
209.565450,0.075138
209.868204,0.075143
210.170958,0.075147
210.473712,0.075151
210.776466,0.075155
211.079220,0.075159
211.381973,0.075163
211.684727,0.075167
211.987481,0.075171
212.290235,0.075175
212.592989,0.075179
212.895743,0.075184
213.198496,0.075188
213.501250,0.075192
213.804004,0.075196
214.106758,0.075200
214.409512,0.075205
214.712266,0.075209
215.015019,0.075213
215.317773,0.075218
215.620527,0.075222
215.923281,0.075226
216.226035,0.075231
216.528789,0.075235
216.831542,0.075239
217.134296,0.075244
217.437050,0.075248
217.739804,0.075253
218.042558,0.075257
218.345312,0.075262
218.648065,0.075266
218.950819,0.075271
219.253573,0.075275
219.556327,0.075280
219.859081,0.075284
220.161835,0.075289
220.464588,0.075294
220.767342,0.075298
221.070096,0.075303
221.372850,0.075308
221.675604,0.075312
221.978358,0.075317
222.281111,0.075322
222.583865,0.075327
222.886619,0.075331
223.189373,0.075336
223.492127,0.075341
223.794881,0.075346
224.097634,0.075351
224.400388,0.075356
224.703142,0.075360
225.005896,0.075365
225.308650,0.075370
225.611404,0.075375
225.914157,0.075380
226.216911,0.075385
226.519665,0.075390
226.822419,0.075395
227.125173,0.075401
227.427927,0.075406
227.730680,0.075411
228.033434,0.075416
228.336188,0.075421
228.638942,0.075426
228.941696,0.075431
229.244450,0.075437
229.547203,0.075442
229.849957,0.075447
230.152711,0.075453
230.455465,0.075458
230.758219,0.075463
231.060973,0.075469
231.363726,0.075474
231.666480,0.075479
231.969234,0.075485
232.271988,0.075490
232.574742,0.075496
232.877496,0.075501
233.180249,0.075507
233.483003,0.075512
233.785757,0.075518
234.088511,0.075524
234.391265,0.075529
234.694019,0.075535
234.996772,0.075541
235.299526,0.075546
235.602280,0.075552
235.905034,0.075558
236.207788,0.075564
236.510542,0.075569
236.813295,0.075575
237.116049,0.075581
237.418803,0.075587
237.721557,0.075593
238.024311,0.075599
238.327065,0.075605
238.629818,0.075611
238.932572,0.075617
239.235326,0.075623
239.538080,0.075629
239.840834,0.075635
240.143587,0.075641
240.446341,0.075648
240.749095,0.075654
241.051849,0.075660
241.354603,0.075666
241.657357,0.075673
241.960110,0.075679
242.262864,0.075685
242.565618,0.075692
242.868372,0.075698
243.171126,0.075705
243.473880,0.075711
243.776633,0.075717
244.079387,0.075724
244.382141,0.075731
244.684895,0.075737
244.987649,0.075744
245.290403,0.075750
245.593156,0.075757
245.895910,0.075764
246.198664,0.075771
246.501418,0.075777
246.804172,0.075784
247.106926,0.075791
247.409679,0.075798
247.712433,0.075805
248.015187,0.075812
248.317941,0.075819
248.620695,0.075826
248.923449,0.075833
249.226202,0.075840
249.528956,0.075847
249.831710,0.075854
250.134464,0.075861
250.437218,0.075869
250.739972,0.075876
251.042725,0.075883
251.345479,0.075891
251.648233,0.075898
251.950987,0.075905
252.253741,0.075913
252.556495,0.075920
252.859248,0.075928
253.162002,0.075935
253.464756,0.075943
253.767510,0.075950
254.070264,0.075958
254.373018,0.075966
254.675771,0.075974
254.978525,0.075981
255.281279,0.075989
255.584033,0.075997
255.886787,0.076005
256.189541,0.076013
256.492294,0.076021
256.795048,0.076029
257.097802,0.076037
257.400556,0.076045
257.703310,0.076053
258.006064,0.076061
258.308817,0.076070
258.611571,0.076078
258.914325,0.076086
259.217079,0.076094
259.519833,0.076103
259.822587,0.076111
260.125340,0.076120
260.428094,0.076128
260.730848,0.076137
261.033602,0.076145
261.336356,0.076154
261.639110,0.076163
261.941863,0.076172
262.244617,0.076180
262.547371,0.076189
262.850125,0.076198
263.152879,0.076207
263.455633,0.076216
263.758386,0.076225
264.061140,0.076234
264.363894,0.076243
264.666648,0.076252
264.969402,0.076262
265.272156,0.076271
265.574909,0.076280
265.877663,0.076290
266.180417,0.076299
266.483171,0.076308
266.785925,0.076318
267.088679,0.076328
267.391432,0.076337
267.694186,0.076347
267.996940,0.076357
268.299694,0.076366
268.602448,0.076376
268.905202,0.076386
269.207955,0.076396
269.510709,0.076406
269.813463,0.076416
270.116217,0.076426
270.418971,0.076436
270.721725,0.076447
271.024478,0.076457
271.327232,0.076467
271.629986,0.076478
271.932740,0.076488
272.235494,0.076499
272.538248,0.076509
272.841001,0.076520
273.143755,0.076530
273.446509,0.076541
273.749263,0.076552
274.052017,0.076563
274.354771,0.076574
274.657524,0.076585
274.960278,0.076596
275.263032,0.076607
275.565786,0.076618
275.868540,0.076629
276.171294,0.076641
276.474047,0.076652
276.776801,0.076663
277.079555,0.076675
277.382309,0.076686
277.685063,0.076698
277.987817,0.076710
278.290570,0.076722
278.593324,0.076733
278.896078,0.076745
279.198832,0.076757
279.501586,0.076769
279.804340,0.076781
280.107093,0.076794
280.409847,0.076806
280.712601,0.076818
281.015355,0.076831
281.318109,0.076843
281.620863,0.076856
281.923616,0.076868
282.226370,0.076881
282.529124,0.076894
282.831878,0.076907
283.134632,0.076920
283.437386,0.076933
283.740139,0.076946
284.042893,0.076959
284.345647,0.076972
284.648401,0.076985
