# i,T,amp,error_amp,c,error_c,w,error_w
0.000e+00,1.500e+01,2.506e-01,7.864e-03,5.599e+02,9.349e-02,5.690e+00,2.425e-01
5.000e+00,2.200e+01,2.254e-01,5.090e-03,5.595e+02,6.377e-02,5.000e+00,1.586e-01
1.200e+01,2.800e+01,2.155e-01,9.508e-03,5.594e+02,1.200e-01,5.626e+00,3.000e-01
1.800e+01,3.300e+01,1.904e-01,5.735e-03,5.600e+02,1.040e-01,5.064e+00,2.581e-01
4.600e+01,6.000e+01,4.000e-01,1.482e-02,5.595e+02,9.478e-02,5.416e+00,2.379e-01
5.100e+01,7.000e+01,3.003e-01,5.254e-03,5.591e+02,5.984e-02,5.445e+00,1.457e-01
5.400e+01,8.000e+01,3.108e-01,6.267e-03,5.589e+02,7.129e-02,5.484e+00,1.728e-01
5.600e+01,9.000e+01,3.471e-01,6.618e-03,5.595e+02,9.227e-02,4.833e+00,1.430e-01
6.000e+01,2.000e+02,2.648e-01,6.349e-03,5.579e+02,1.243e-01,5.088e+00,2.002e-01
6.400e+01,3.000e+02,3.448e-01,4.724e-03,5.540e+02,1.205e-01,7.867e+00,2.012e-01
6.500e+01,3.000e+02,2.424e-01,4.037e-03,5.541e+02,1.254e-01,6.811e+00,2.083e-01
7.100e+01,3.800e+02,1.206e-01,3.989e-03,5.499e+02,4.316e-01,1.050e+01,6.968e-01
7.200e+01,4.000e+02,2.056e-01,5.656e-03,5.499e+02,3.947e-01,1.316e+01,5.531e-01
7.400e+01,4.200e+02,1.430e-01,1.354e-02,5.462e+02,1.649e+00,1.825e+01,1.693e+00
7.500e+01,4.400e+02,1.454e-01,7.500e-03,5.446e+02,1.050e+00,1.814e+01,1.423e+00
7.600e+01,4.500e+02,2.150e-01,4.129e-03,5.399e+02,4.616e-01,1.980e+01,6.004e-01
8.000e+01,4.720e+02,2.040e-01,6.116e-03,5.365e+02,7.709e-01,2.193e+01,9.373e-01
8.200e+01,4.820e+02,2.085e-01,5.310e-03,5.327e+02,7.643e-01,2.556e+01,9.953e-01
8.300e+01,4.890e+02,2.027e-01,3.389e-03,5.302e+02,4.748e-01,2.833e+01,9.103e-01
8.500e+01,5.000e+02,1.269e-01,9.690e-03,5.305e+02,1.266e+00,2.789e+01,2.240e+00
