# i,T,amp,error_amp,c,error_c,w,error_w
0.000e+00,1.500e+01,1.157e+00,4.156e-03,4.302e+02,1.232e-02,4.767e+00,3.019e-02
5.000e+00,2.200e+01,1.090e+00,4.248e-03,4.302e+02,1.188e-02,4.700e+00,3.156e-02
1.200e+01,2.800e+01,9.716e-01,5.879e-03,4.300e+02,2.242e-02,5.684e+00,6.602e-02
1.800e+01,3.300e+01,8.988e-01,4.862e-03,4.293e+02,1.889e-02,5.171e+00,4.764e-02
4.600e+01,6.000e+01,1.706e+00,7.328e-03,4.279e+02,1.706e-02,6.520e+00,4.308e-02
5.100e+01,7.000e+01,1.126e+00,3.778e-03,4.276e+02,1.496e-02,6.947e+00,3.639e-02
5.400e+01,8.000e+01,1.218e+00,4.554e-03,4.278e+02,1.615e-02,7.233e+00,4.033e-02
5.600e+01,9.000e+01,1.120e+00,5.664e-03,4.284e+02,3.742e-02,7.022e+00,6.378e-02
6.000e+01,2.000e+02,9.679e-01,4.809e-03,4.308e+02,5.230e-02,9.366e+00,8.816e-02
6.400e+01,3.000e+02,1.305e+00,4.425e-03,4.304e+02,4.783e-02,1.113e+01,7.563e-02
6.500e+01,3.000e+02,8.720e-01,3.174e-03,4.305e+02,5.204e-02,1.149e+01,8.581e-02
7.100e+01,3.800e+02,3.501e-01,1.117e-02,4.276e+02,3.851e-01,1.538e+01,4.593e-01
7.200e+01,4.000e+02,5.273e-01,2.726e-03,4.285e+02,1.011e-01,2.027e+01,2.092e-01
7.400e+01,4.200e+02,2.970e-01,3.729e-03,4.260e+02,2.463e-01,2.158e+01,5.297e-01
7.500e+01,4.400e+02,2.622e-01,3.469e-03,4.248e+02,3.325e-01,2.524e+01,7.253e-01
7.600e+01,4.500e+02,2.992e-01,2.039e-03,4.212e+02,2.036e-01,2.774e+01,4.896e-01
8.000e+01,4.720e+02,2.312e-01,3.079e-03,4.205e+02,4.036e-01,3.318e+01,1.019e+00
8.200e+01,4.820e+02,2.290e-01,2.845e-03,4.198e+02,4.063e-01,3.582e+01,1.101e+00
8.300e+01,4.890e+02,2.144e-01,2.922e-03,4.185e+02,4.809e-01,3.874e+01,1.345e+00
8.500e+01,5.000e+02,1.529e-01,5.990e-03,4.182e+02,1.079e+00,3.928e+01,2.837e+00
