# rshift,intensity
80.391256,0.247894
80.703692,0.247895
81.016127,0.247896
81.328562,0.247897
81.640997,0.247897
81.953433,0.247898
82.265868,0.247899
82.578303,0.247900
82.890738,0.247900
83.203174,0.247901
83.515609,0.247902
83.828044,0.247903
84.140479,0.247903
84.452915,0.247904
84.765350,0.247905
85.077785,0.247906
85.390220,0.247907
85.702656,0.247907
86.015091,0.247908
86.327526,0.247909
86.639961,0.247910
86.952397,0.247911
87.264832,0.247911
87.577267,0.247912
87.889702,0.247913
88.202138,0.247914
88.514573,0.247915
88.827008,0.247915
89.139443,0.247916
89.451879,0.247917
89.764314,0.247918
90.076749,0.247919
90.389184,0.247919
90.701620,0.247920
91.014055,0.247921
91.326490,0.247922
91.638925,0.247923
91.951360,0.247924
92.263796,0.247924
92.576231,0.247925
92.888666,0.247926
93.201101,0.247927
93.513537,0.247928
93.825972,0.247929
94.138407,0.247929
94.450842,0.247930
94.763278,0.247931
95.075713,0.247932
95.388148,0.247933
95.700583,0.247934
96.013019,0.247934
96.325454,0.247935
96.637889,0.247936
96.950324,0.247937
97.262760,0.247938
97.575195,0.247939
97.887630,0.247940
98.200065,0.247940
98.512501,0.247941
98.824936,0.247942
99.137371,0.247943
99.449806,0.247944
99.762242,0.247945
100.074677,0.247946
100.387112,0.247947
100.699547,0.247947
101.011983,0.247948
101.324418,0.247949
101.636853,0.247950
101.949288,0.247951
102.261724,0.247952
102.574159,0.247953
102.886594,0.247954
103.199029,0.247955
103.511465,0.247956
103.823900,0.247956
104.136335,0.247957
104.448770,0.247958
104.761206,0.247959
105.073641,0.247960
105.386076,0.247961
105.698511,0.247962
106.010947,0.247963
106.323382,0.247964
106.635817,0.247965
106.948252,0.247966
107.260688,0.247967
107.573123,0.247968
107.885558,0.247968
108.197993,0.247969
108.510429,0.247970
108.822864,0.247971
109.135299,0.247972
109.447734,0.247973
109.760170,0.247974
110.072605,0.247975
110.385040,0.247976
110.697475,0.247977
111.009911,0.247978
111.322346,0.247979
111.634781,0.247980
111.947216,0.247981
112.259652,0.247982
112.572087,0.247983
112.884522,0.247984
113.196957,0.247985
113.509393,0.247986
113.821828,0.247987
114.134263,0.247988
114.446698,0.247989
114.759134,0.247990
115.071569,0.247991
115.384004,0.247992
115.696439,0.247993
116.008875,0.247994
116.321310,0.247995
116.633745,0.247996
116.946180,0.247997
117.258616,0.247998
117.571051,0.247999
117.883486,0.248000
118.195921,0.248001
118.508357,0.248002
118.820792,0.248003
119.133227,0.248004
119.445662,0.248005
119.758098,0.248006
120.070533,0.248007
120.382968,0.248008
120.695403,0.248009
121.007839,0.248010
121.320274,0.248011
121.632709,0.248012
121.945144,0.248013
122.257580,0.248015
122.570015,0.248016
122.882450,0.248017
123.194885,0.248018
123.507320,0.248019
123.819756,0.248020
124.132191,0.248021
124.444626,0.248022
124.757061,0.248023
125.069497,0.248024
125.381932,0.248025
125.694367,0.248026
126.006802,0.248027
126.319238,0.248029
126.631673,0.248030
126.944108,0.248031
127.256543,0.248032
127.568979,0.248033
127.881414,0.248034
128.193849,0.248035
128.506284,0.248036
128.818720,0.248038
129.131155,0.248039
129.443590,0.248040
129.756025,0.248041
130.068461,0.248042
130.380896,0.248043
130.693331,0.248044
131.005766,0.248045
131.318202,0.248047
131.630637,0.248048
131.943072,0.248049
132.255507,0.248050
132.567943,0.248051
132.880378,0.248052
133.192813,0.248054
133.505248,0.248055
133.817684,0.248056
134.130119,0.248057
134.442554,0.248058
134.754989,0.248059
135.067425,0.248061
135.379860,0.248062
135.692295,0.248063
136.004730,0.248064
136.317166,0.248065
136.629601,0.248067
136.942036,0.248068
137.254471,0.248069
137.566907,0.248070
137.879342,0.248072
138.191777,0.248073
138.504212,0.248074
138.816648,0.248075
139.129083,0.248076
139.441518,0.248078
139.753953,0.248079
140.066389,0.248080
140.378824,0.248081
140.691259,0.248083
141.003694,0.248084
141.316130,0.248085
141.628565,0.248086
141.941000,0.248088
142.253435,0.248089
142.565871,0.248090
142.878306,0.248092
143.190741,0.248093
143.503176,0.248094
143.815612,0.248095
144.128047,0.248097
144.440482,0.248098
144.752917,0.248099
145.065353,0.248101
145.377788,0.248102
145.690223,0.248103
146.002658,0.248105
146.315094,0.248106
146.627529,0.248107
146.939964,0.248109
147.252399,0.248110
147.564835,0.248111
147.877270,0.248113
148.189705,0.248114
148.502140,0.248115
148.814576,0.248117
149.127011,0.248118
149.439446,0.248119
149.751881,0.248121
150.064317,0.248122
150.376752,0.248123
150.689187,0.248125
151.001622,0.248126
151.314058,0.248128
151.626493,0.248129
151.938928,0.248130
152.251363,0.248132
152.563799,0.248133
152.876234,0.248135
153.188669,0.248136
153.501104,0.248137
153.813540,0.248139
154.125975,0.248140
154.438410,0.248142
154.750845,0.248143
155.063280,0.248144
155.375716,0.248146
155.688151,0.248147
156.000586,0.248149
156.313021,0.248150
156.625457,0.248152
156.937892,0.248153
157.250327,0.248155
157.562762,0.248156
157.875198,0.248158
158.187633,0.248159
158.500068,0.248161
158.812503,0.248162
159.124939,0.248164
159.437374,0.248165
159.749809,0.248167
160.062244,0.248168
160.374680,0.248170
160.687115,0.248171
160.999550,0.248173
161.311985,0.248174
161.624421,0.248176
161.936856,0.248177
162.249291,0.248179
162.561726,0.248180
162.874162,0.248182
163.186597,0.248183
163.499032,0.248185
163.811467,0.248187
164.123903,0.248188
164.436338,0.248190
164.748773,0.248191
165.061208,0.248193
165.373644,0.248194
165.686079,0.248196
165.998514,0.248198
166.310949,0.248199
166.623385,0.248201
166.935820,0.248202
167.248255,0.248204
167.560690,0.248206
167.873126,0.248207
168.185561,0.248209
168.497996,0.248211
168.810431,0.248212
169.122867,0.248214
169.435302,0.248216
169.747737,0.248217
170.060172,0.248219
170.372608,0.248221
170.685043,0.248222
170.997478,0.248224
171.309913,0.248226
171.622349,0.248227
171.934784,0.248229
172.247219,0.248231
172.559654,0.248232
172.872090,0.248234
173.184525,0.248236
173.496960,0.248238
173.809395,0.248239
174.121831,0.248241
174.434266,0.248243
174.746701,0.248245
175.059136,0.248246
175.371572,0.248248
175.684007,0.248250
175.996442,0.248252
176.308877,0.248253
176.621313,0.248255
176.933748,0.248257
177.246183,0.248259
177.558618,0.248261
177.871054,0.248262
178.183489,0.248264
178.495924,0.248266
178.808359,0.248268
179.120795,0.248270
179.433230,0.248272
179.745665,0.248273
180.058100,0.248275
180.370536,0.248277
180.682971,0.248279
180.995406,0.248281
181.307841,0.248283
181.620277,0.248285
